price,date,hour,day,month,year
235.77,24-01-2016,17,24,01,2016
234.75,24-01-2016,18,24,01,2016
223.18,24-01-2016,19,24,01,2016
212.9,24-01-2016,20,24,01,2016
207.06,24-01-2016,21,24,01,2016
203.45,24-01-2016,22,24,01,2016
201.14,24-01-2016,23,24,01,2016
185.86,25-01-2016,00,25,01,2016
181.97,25-01-2016,01,25,01,2016
182.25,25-01-2016,02,25,01,2016
185.02,25-01-2016,03,25,01,2016
188.27,25-01-2016,04,25,01,2016
197.43,25-01-2016,05,25,01,2016
220.12,25-01-2016,06,25,01,2016
278.46,25-01-2016,07,25,01,2016
313.75,25-01-2016,08,25,01,2016
254.39,25-01-2016,09,25,01,2016
310.5,25-01-2016,10,25,01,2016
266.33,25-01-2016,11,25,01,2016
230.86,25-01-2016,12,25,01,2016
259.48,25-01-2016,13,25,01,2016
232.25,25-01-2016,14,25,01,2016
230.4,25-01-2016,15,25,01,2016
234.85,25-01-2016,16,25,01,2016
249.39,25-01-2016,17,25,01,2016
226.14,25-01-2016,18,25,01,2016
209.94,25-01-2016,19,25,01,2016
203.27,25-01-2016,20,25,01,2016
197.06,25-01-2016,21,25,01,2016
178.73,25-01-2016,22,25,01,2016
167.71,25-01-2016,23,25,01,2016
157.32,26-01-2016,00,26,01,2016
152.31,26-01-2016,01,26,01,2016
147.49,26-01-2016,02,26,01,2016
147.58,26-01-2016,03,26,01,2016
152.31,26-01-2016,04,26,01,2016
157.32,26-01-2016,05,26,01,2016
167.34,26-01-2016,06,26,01,2016
174.57,26-01-2016,07,26,01,2016
179.68,26-01-2016,08,26,01,2016
179.58,26-01-2016,09,26,01,2016
179.68,26-01-2016,10,26,01,2016
179.12,26-01-2016,11,26,01,2016
177.64,26-01-2016,12,26,01,2016
177.26,26-01-2016,13,26,01,2016
177.36,26-01-2016,14,26,01,2016
177.82,26-01-2016,15,26,01,2016
180.42,26-01-2016,16,26,01,2016
182.46,26-01-2016,17,26,01,2016
179.49,26-01-2016,18,26,01,2016
174.02,26-01-2016,19,26,01,2016
171.14,26-01-2016,20,26,01,2016
168.64,26-01-2016,21,26,01,2016
161.87,26-01-2016,22,26,01,2016
148.97,26-01-2016,23,26,01,2016
136.4,27-01-2016,00,27,01,2016
133.25,27-01-2016,01,27,01,2016
128.43,27-01-2016,02,27,01,2016
130.84,27-01-2016,03,27,01,2016
129.08,27-01-2016,04,27,01,2016
141.22,27-01-2016,05,27,01,2016
155.58,27-01-2016,06,27,01,2016
164.2,27-01-2016,07,27,01,2016
166.43,27-01-2016,08,27,01,2016
165.41,27-01-2016,09,27,01,2016
165.78,27-01-2016,10,27,01,2016
164.11,27-01-2016,11,27,01,2016
163.0,27-01-2016,12,27,01,2016
163.65,27-01-2016,13,27,01,2016
163.65,27-01-2016,14,27,01,2016
163.28,27-01-2016,15,27,01,2016
165.22,27-01-2016,16,27,01,2016
167.72,27-01-2016,17,27,01,2016
165.78,27-01-2016,18,27,01,2016
163.0,27-01-2016,19,27,01,2016
160.22,27-01-2016,20,27,01,2016
158.64,27-01-2016,21,27,01,2016
151.41,27-01-2016,22,27,01,2016
139.65,27-01-2016,23,27,01,2016
139.67,28-01-2016,00,28,01,2016
135.32,28-01-2016,01,28,01,2016
132.07,28-01-2016,02,28,01,2016
131.79,28-01-2016,03,28,01,2016
132.91,28-01-2016,04,28,01,2016
150.61,28-01-2016,05,28,01,2016
159.04,28-01-2016,06,28,01,2016
162.84,28-01-2016,07,28,01,2016
165.81,28-01-2016,08,28,01,2016
164.97,28-01-2016,09,28,01,2016
164.79,28-01-2016,10,28,01,2016
163.68,28-01-2016,11,28,01,2016
162.66,28-01-2016,12,28,01,2016
162.84,28-01-2016,13,28,01,2016
162.38,28-01-2016,14,28,01,2016
163.03,28-01-2016,15,28,01,2016
164.51,28-01-2016,16,28,01,2016
168.5,28-01-2016,17,28,01,2016
165.53,28-01-2016,18,28,01,2016
162.56,28-01-2016,19,28,01,2016
159.51,28-01-2016,20,28,01,2016
158.21,28-01-2016,21,28,01,2016
152.93,28-01-2016,22,28,01,2016
148.48,28-01-2016,23,28,01,2016
149.3,29-01-2016,00,29,01,2016
145.12,29-01-2016,01,29,01,2016
142.7,29-01-2016,02,29,01,2016
144.1,29-01-2016,03,29,01,2016
145.21,29-01-2016,04,29,01,2016
151.63,29-01-2016,05,29,01,2016
157.85,29-01-2016,06,29,01,2016
162.87,29-01-2016,07,29,01,2016
165.38,29-01-2016,08,29,01,2016
164.08,29-01-2016,09,29,01,2016
162.69,29-01-2016,10,29,01,2016
160.83,29-01-2016,11,29,01,2016
158.41,29-01-2016,12,29,01,2016
155.44,29-01-2016,13,29,01,2016
153.49,29-01-2016,14,29,01,2016
150.6,29-01-2016,15,29,01,2016
152.09,29-01-2016,16,29,01,2016
155.62,29-01-2016,17,29,01,2016
154.51,29-01-2016,18,29,01,2016
150.05,29-01-2016,19,29,01,2016
143.17,29-01-2016,20,29,01,2016
141.31,29-01-2016,21,29,01,2016
135.73,29-01-2016,22,29,01,2016
95.66,29-01-2016,23,29,01,2016
