price,date,hour
316.35,30-01-2018,12
314.98,30-01-2018,13
314.68,30-01-2018,14
316.74,30-01-2018,15
321.53,30-01-2018,16
427.01,30-01-2018,17
414.49,30-01-2018,18
357.15,30-01-2018,19
324.57,30-01-2018,20
316.74,30-01-2018,21
304.51,30-01-2018,22
294.62,30-01-2018,23
289.82,31-01-2018,00
283.66,31-01-2018,01
275.04,31-01-2018,02
273.97,31-01-2018,03
272.6,31-01-2018,04
274.65,31-01-2018,05
294.33,31-01-2018,06
306.85,31-01-2018,07
311.45,31-01-2018,08
302.35,31-01-2018,09
300.59,31-01-2018,10
293.93,31-01-2018,11
289.82,31-01-2018,12
287.57,31-01-2018,13
290.02,31-01-2018,14
290.02,31-01-2018,15
296.18,31-01-2018,16
313.71,31-01-2018,17
328.19,31-01-2018,18
310.67,31-01-2018,19
292.86,31-01-2018,20
282.38,31-01-2018,21
277.2,31-01-2018,22
268.0,31-01-2018,23
264.26,01-02-2018,00
254.59,01-02-2018,01
249.7,01-02-2018,02
261.72,01-02-2018,03
263.38,01-02-2018,04
281.84,01-02-2018,05
299.52,01-02-2018,06
333.23,01-02-2018,07
319.75,01-02-2018,08
317.3,01-02-2018,09
316.62,01-02-2018,10
308.41,01-02-2018,11
303.63,01-02-2018,12
307.24,01-02-2018,13
308.71,01-02-2018,14
307.93,01-02-2018,15
313.59,01-02-2018,16
322.19,01-02-2018,17
323.95,01-02-2018,18
315.15,01-02-2018,19
307.05,01-02-2018,20
307.34,01-02-2018,21
301.28,01-02-2018,22
286.82,01-02-2018,23
295.19,02-02-2018,00
292.74,02-02-2018,01
291.96,02-02-2018,02
291.47,02-02-2018,03
295.0,02-02-2018,04
315.38,02-02-2018,05
329.88,02-02-2018,06
421.81,02-02-2018,07
451.31,02-02-2018,08
458.66,02-02-2018,09
458.57,02-02-2018,10
434.36,02-02-2018,11
422.11,02-02-2018,12
391.73,02-02-2018,13
391.24,02-02-2018,14
393.2,02-02-2018,15
414.07,02-02-2018,16
470.62,02-02-2018,17
458.66,02-02-2018,18
422.21,02-02-2018,19
334.59,02-02-2018,20
327.14,02-02-2018,21
322.44,02-02-2018,22
312.83,02-02-2018,23
323.4,03-02-2018,00
316.72,03-02-2018,01
314.46,03-02-2018,02
314.36,03-02-2018,03
316.92,03-02-2018,04
323.01,03-02-2018,05
323.6,03-02-2018,06
327.83,03-02-2018,07
332.15,03-02-2018,08
364.38,03-02-2018,09
403.1,03-02-2018,10
416.46,03-02-2018,11
364.28,03-02-2018,12
332.84,03-02-2018,13
328.71,03-02-2018,14
329.1,03-02-2018,15
364.38,03-02-2018,16
443.59,03-02-2018,17
403.79,03-02-2018,18
340.7,03-02-2018,19
327.83,03-02-2018,20
323.6,03-02-2018,21
321.24,03-02-2018,22
315.93,03-02-2018,23
319.83,04-02-2018,00
308.02,04-02-2018,01
304.68,04-02-2018,02
304.97,04-02-2018,03
303.4,04-02-2018,04
303.0,04-02-2018,05
303.5,04-02-2018,06
307.33,04-02-2018,07
310.98,04-02-2018,08
318.65,04-02-2018,09
325.74,04-02-2018,10
338.92,04-02-2018,11
328.69,04-02-2018,12
315.7,04-02-2018,13
313.34,04-02-2018,14
316.39,04-02-2018,15
337.05,04-02-2018,16
390.79,04-02-2018,17
422.28,04-02-2018,18
393.74,04-02-2018,19
355.75,04-02-2018,20
344.44,04-02-2018,21
337.15,04-02-2018,22
323.97,04-02-2018,23
316.29,05-02-2018,00
306.84,05-02-2018,01
304.28,05-02-2018,02
304.38,05-02-2018,03
310.48,05-02-2018,04
331.35,05-02-2018,05
407.52,05-02-2018,06
739.06,05-02-2018,07
799.68,05-02-2018,08
791.51,05-02-2018,09
689.07,05-02-2018,10
530.33,05-02-2018,11
478.57,05-02-2018,12
473.25,05-02-2018,13
472.96,05-02-2018,14
491.75,05-02-2018,15
629.53,05-02-2018,16
917.77,05-02-2018,17
771.93,05-02-2018,18
545.29,05-02-2018,19
469.91,05-02-2018,20
393.34,05-02-2018,21
383.8,05-02-2018,22
354.47,05-02-2018,23
355.42,06-02-2018,00
344.4,06-02-2018,01
340.96,06-02-2018,02
348.14,06-02-2018,03
356.7,06-02-2018,04
367.62,06-02-2018,05
432.47,06-02-2018,06
577.12,06-02-2018,07
635.47,06-02-2018,08
626.71,06-02-2018,09
586.37,06-02-2018,10
489.64,06-02-2018,11
449.1,06-02-2018,12
438.96,06-02-2018,13
461.69,06-02-2018,14
486.59,06-02-2018,15
528.9,06-02-2018,16
628.68,06-02-2018,17
644.52,06-02-2018,18
571.51,06-02-2018,19
465.43,06-02-2018,20
396.16,06-02-2018,21
366.24,06-02-2018,22
334.36,06-02-2018,23
332.38,07-02-2018,00
329.72,07-02-2018,01
324.39,07-02-2018,02
325.97,07-02-2018,03
331.79,07-02-2018,04
339.48,07-02-2018,05
403.45,07-02-2018,06
592.11,07-02-2018,07
604.53,07-02-2018,08
581.27,07-02-2018,09
570.52,07-02-2018,10
463.18,07-02-2018,11
443.07,07-02-2018,12
455.59,07-02-2018,13
482.99,07-02-2018,14
490.58,07-02-2018,15
514.24,07-02-2018,16
605.91,07-02-2018,17
632.23,07-02-2018,18
544.11,07-02-2018,19
431.15,07-02-2018,20
396.55,07-02-2018,21
354.16,07-02-2018,22
324.39,07-02-2018,23
331.24,08-02-2018,00
325.82,08-02-2018,01
322.67,08-02-2018,02
321.29,08-02-2018,03
329.17,08-02-2018,04
343.07,08-02-2018,05
428.22,08-02-2018,06
587.49,08-02-2018,07
639.62,08-02-2018,08
644.25,08-02-2018,09
576.55,08-02-2018,10
587.39,08-02-2018,11
492.38,08-02-2018,12
471.09,08-02-2018,13
473.36,08-02-2018,14
483.71,08-02-2018,15
533.28,08-02-2018,16
622.28,08-02-2018,17
592.02,08-02-2018,18
549.15,08-02-2018,19
452.27,08-02-2018,20
403.78,08-02-2018,21
313.6,08-02-2018,22
305.03,08-02-2018,23
306.91,09-02-2018,00
303.35,09-02-2018,01
299.98,09-02-2018,02
300.87,09-02-2018,03
302.76,09-02-2018,04
311.07,09-02-2018,05
338.68,09-02-2018,06
450.92,09-02-2018,07
478.63,09-02-2018,08
457.35,09-02-2018,09
438.74,09-02-2018,10
385.59,09-02-2018,11
387.08,09-02-2018,12
387.08,09-02-2018,13
406.68,09-02-2018,14
406.77,09-02-2018,15
446.07,09-02-2018,16
479.02,09-02-2018,17
482.98,09-02-2018,18
416.28,09-02-2018,19
323.94,09-02-2018,20
315.62,09-02-2018,21
312.36,09-02-2018,22
308.5,09-02-2018,23
314.12,10-02-2018,00
311.53,10-02-2018,01
309.44,10-02-2018,02
310.33,10-02-2018,03
313.12,10-02-2018,04
316.81,10-02-2018,05
316.81,10-02-2018,06
312.92,10-02-2018,07
359.35,10-02-2018,08
359.35,10-02-2018,09
403.38,10-02-2018,10
403.18,10-02-2018,11
359.25,10-02-2018,12
358.65,10-02-2018,13
318.7,10-02-2018,14
325.97,10-02-2018,15
386.74,10-02-2018,16
415.64,10-02-2018,17
441.84,10-02-2018,18
404.18,10-02-2018,19
343.11,10-02-2018,20
323.38,10-02-2018,21
314.22,10-02-2018,22
298.97,10-02-2018,23
293.73,11-02-2018,00
290.85,11-02-2018,01
287.48,11-02-2018,02
285.99,11-02-2018,03
286.49,11-02-2018,04
285.5,11-02-2018,05
286.98,11-02-2018,06
288.17,11-02-2018,07
291.15,11-02-2018,08
294.22,11-02-2018,09
296.5,11-02-2018,10
297.5,11-02-2018,11
295.81,11-02-2018,12
294.62,11-02-2018,13
293.63,11-02-2018,14
297.59,11-02-2018,15
301.06,11-02-2018,16
305.63,11-02-2018,17
310.88,11-02-2018,18
307.71,11-02-2018,19
300.47,11-02-2018,20
296.6,11-02-2018,21
293.83,11-02-2018,22
288.17,11-02-2018,23
286.59,12-02-2018,00
283.31,12-02-2018,01
277.76,12-02-2018,02
285.69,12-02-2018,03
286.59,12-02-2018,04
291.25,12-02-2018,05
302.85,12-02-2018,06
315.74,12-02-2018,07
320.3,12-02-2018,08
319.01,12-02-2018,09
318.52,12-02-2018,10
315.94,12-02-2018,11
313.16,12-02-2018,12
313.16,12-02-2018,13
313.26,12-02-2018,14
315.05,12-02-2018,15
322.48,12-02-2018,16
369.89,12-02-2018,17
354.81,12-02-2018,18
336.96,12-02-2018,19
321.69,12-02-2018,20
316.53,12-02-2018,21
308.4,12-02-2018,22
307.01,12-02-2018,23
305.44,13-02-2018,00
303.25,13-02-2018,01
302.56,13-02-2018,02
305.34,13-02-2018,03
308.31,13-02-2018,04
324.19,13-02-2018,05
368.03,13-02-2018,06
451.26,13-02-2018,07
470.7,13-02-2018,08
460.39,13-02-2018,09
426.06,13-02-2018,10
377.46,13-02-2018,11
342.24,13-02-2018,12
337.88,13-02-2018,13
356.62,13-02-2018,14
360.29,13-02-2018,15
439.16,13-02-2018,16
494.51,13-02-2018,17
526.45,13-02-2018,18
435.09,13-02-2018,19
386.58,13-02-2018,20
357.91,13-02-2018,21
319.72,13-02-2018,22
309.31,13-02-2018,23
318.37,14-02-2018,00
314.9,14-02-2018,01
313.01,14-02-2018,02
313.7,14-02-2018,03
322.05,14-02-2018,04
333.96,14-02-2018,05
415.0,14-02-2018,06
479.44,14-02-2018,07
558.89,14-02-2018,08
533.47,14-02-2018,09
